MapDate,RegionName,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20230221,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-02-21,2023-02-27,1
20230221,II,93.46,6.54,0.00,0.00,0.00,0.00,2023-02-21,2023-02-27,1
20230221,III,94.91,5.09,0.26,0.00,0.00,0.00,2023-02-21,2023-02-27,1
20230221,IV,85.04,14.96,4.89,0.00,0.00,0.00,2023-02-21,2023-02-27,1
20230214,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-02-14,2023-02-20,1
20230214,II,93.46,6.54,0.00,0.00,0.00,0.00,2023-02-14,2023-02-20,1
20230214,III,94.25,5.75,0.26,0.00,0.00,0.00,2023-02-14,2023-02-20,1
20230214,IV,86.99,13.01,4.89,0.00,0.00,0.00,2023-02-14,2023-02-20,1
20230207,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-02-07,2023-02-13,1
20230207,II,93.46,6.54,0.00,0.00,0.00,0.00,2023-02-07,2023-02-13,1
20230207,III,94.77,5.23,0.26,0.00,0.00,0.00,2023-02-07,2023-02-13,1
20230207,IV,83.04,16.96,4.61,1.19,0.00,0.00,2023-02-07,2023-02-13,1
20230131,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-01-31,2023-02-06,1
20230131,II,92.66,7.34,0.70,0.00,0.00,0.00,2023-01-31,2023-02-06,1
20230131,III,95.34,4.66,0.26,0.00,0.00,0.00,2023-01-31,2023-02-06,1
20230131,IV,76.95,23.05,6.22,1.14,0.00,0.00,2023-01-31,2023-02-06,1
20230124,I,99.46,0.54,0.00,0.00,0.00,0.00,2023-01-24,2023-01-30,1
20230124,II,87.98,12.02,0.70,0.00,0.00,0.00,2023-01-24,2023-01-30,1
20230124,III,94.89,5.11,0.65,0.00,0.00,0.00,2023-01-24,2023-01-30,1
20230124,IV,76.45,23.55,10.51,1.43,0.00,0.00,2023-01-24,2023-01-30,1
20230117,I,94.83,5.17,0.00,0.00,0.00,0.00,2023-01-17,2023-01-23,1
20230117,II,87.58,12.42,0.70,0.00,0.00,0.00,2023-01-17,2023-01-23,1
20230117,III,95.68,4.32,0.65,0.00,0.00,0.00,2023-01-17,2023-01-23,1
20230117,IV,72.34,27.66,15.80,2.74,0.00,0.00,2023-01-17,2023-01-23,1
20230110,I,86.39,13.61,0.00,0.00,0.00,0.00,2023-01-10,2023-01-16,1
20230110,II,88.87,11.13,0.70,0.00,0.00,0.00,2023-01-10,2023-01-16,1
20230110,III,97.30,2.70,0.26,0.00,0.00,0.00,2023-01-10,2023-01-16,1
20230110,IV,70.01,29.99,14.89,3.10,0.00,0.00,2023-01-10,2023-01-16,1
20230103,I,81.60,18.40,0.00,0.00,0.00,0.00,2023-01-03,2023-01-09,1
20230103,II,88.68,11.32,0.70,0.00,0.00,0.00,2023-01-03,2023-01-09,1
20230103,III,95.92,4.08,0.26,0.00,0.00,0.00,2023-01-03,2023-01-09,1
20230103,IV,63.89,36.11,15.57,3.83,0.00,0.00,2023-01-03,2023-01-09,1
20221227,I,81.60,18.40,0.00,0.00,0.00,0.00,2022-12-27,2023-01-02,1
20221227,II,88.68,11.32,0.70,0.00,0.00,0.00,2022-12-27,2023-01-02,1
20221227,III,95.84,4.16,0.41,0.00,0.00,0.00,2022-12-27,2023-01-02,1
20221227,IV,54.89,45.11,17.73,4.20,0.00,0.00,2022-12-27,2023-01-02,1
20221220,I,81.61,18.39,1.67,0.00,0.00,0.00,2022-12-20,2022-12-26,1
20221220,II,89.15,10.85,3.07,0.00,0.00,0.00,2022-12-20,2022-12-26,1
20221220,III,93.09,6.91,0.41,0.00,0.00,0.00,2022-12-20,2022-12-26,1
20221220,IV,53.18,46.82,17.73,4.20,0.00,0.00,2022-12-20,2022-12-26,1
20221213,I,79.67,20.33,1.75,0.41,0.00,0.00,2022-12-13,2022-12-19,1
20221213,II,86.68,13.32,4.41,0.00,0.00,0.00,2022-12-13,2022-12-19,1
20221213,III,86.58,13.42,0.50,0.00,0.00,0.00,2022-12-13,2022-12-19,1
20221213,IV,38.02,61.98,25.83,6.11,0.00,0.00,2022-12-13,2022-12-19,1
20221206,I,78.74,21.26,2.27,0.41,0.00,0.00,2022-12-06,2022-12-12,1
20221206,II,87.91,12.09,4.41,0.00,0.00,0.00,2022-12-06,2022-12-12,1
20221206,III,89.56,10.44,0.50,0.00,0.00,0.00,2022-12-06,2022-12-12,1
20221206,IV,33.10,66.90,35.85,7.09,0.00,0.00,2022-12-06,2022-12-12,1
20221129,I,78.74,21.26,2.27,0.41,0.00,0.00,2022-11-29,2022-12-05,1
20221129,II,89.26,10.74,4.52,0.00,0.00,0.00,2022-11-29,2022-12-05,1
20221129,III,87.05,12.95,0.75,0.00,0.00,0.00,2022-11-29,2022-12-05,1
20221129,IV,30.42,69.58,46.52,16.14,0.00,0.00,2022-11-29,2022-12-05,1
20221122,I,81.34,18.66,2.03,0.41,0.00,0.00,2022-11-22,2022-11-28,1
20221122,II,89.26,10.74,4.52,0.00,0.00,0.00,2022-11-22,2022-11-28,1
20221122,III,86.12,13.88,0.57,0.00,0.00,0.00,2022-11-22,2022-11-28,1
20221122,IV,27.02,72.98,44.35,12.80,0.00,0.00,2022-11-22,2022-11-28,1
20221115,I,80.51,19.49,2.14,0.60,0.00,0.00,2022-11-15,2022-11-21,1
20221115,II,88.40,11.60,4.59,0.00,0.00,0.00,2022-11-15,2022-11-21,1
20221115,III,85.22,14.78,0.57,0.00,0.00,0.00,2022-11-15,2022-11-21,1
20221115,IV,28.59,71.41,42.35,11.06,0.00,0.00,2022-11-15,2022-11-21,1
20221108,I,80.17,19.83,2.39,0.60,0.00,0.00,2022-11-08,2022-11-14,1
20221108,II,62.72,37.28,4.81,0.61,0.00,0.00,2022-11-08,2022-11-14,1
20221108,III,59.60,40.40,2.73,0.00,0.00,0.00,2022-11-08,2022-11-14,1
20221108,IV,22.31,77.69,46.47,16.23,0.00,0.00,2022-11-08,2022-11-14,1
20221101,I,80.16,19.84,2.39,0.60,0.00,0.00,2022-11-01,2022-11-07,1
20221101,II,64.42,35.58,4.71,0.61,0.00,0.00,2022-11-01,2022-11-07,1
20221101,III,77.93,22.07,1.06,0.00,0.00,0.00,2022-11-01,2022-11-07,1
20221101,IV,23.73,76.27,42.03,13.12,0.43,0.00,2022-11-01,2022-11-07,1
20221025,I,76.56,23.44,2.73,0.60,0.00,0.00,2022-10-25,2022-10-31,1
20221025,II,70.48,29.52,4.71,0.61,0.00,0.00,2022-10-25,2022-10-31,1
20221025,III,84.56,15.44,0.50,0.00,0.00,0.00,2022-10-25,2022-10-31,1
20221025,IV,30.81,69.19,40.96,12.43,0.59,0.00,2022-10-25,2022-10-31,1
20221018,I,70.35,29.65,8.97,0.80,0.00,0.00,2022-10-18,2022-10-24,1
20221018,II,82.16,17.84,5.86,0.61,0.00,0.00,2022-10-18,2022-10-24,1
20221018,III,94.57,5.43,0.50,0.00,0.00,0.00,2022-10-18,2022-10-24,1
20221018,IV,38.74,61.26,27.90,2.95,0.00,0.00,2022-10-18,2022-10-24,1
20221011,I,56.69,43.31,21.18,4.48,0.43,0.00,2022-10-11,2022-10-17,1
20221011,II,80.29,19.71,8.19,0.80,0.00,0.00,2022-10-11,2022-10-17,1
20221011,III,93.13,6.87,0.50,0.00,0.00,0.00,2022-10-11,2022-10-17,1
20221011,IV,39.04,60.96,19.60,1.01,0.00,0.00,2022-10-11,2022-10-17,1
20221004,I,57.63,42.37,21.75,6.31,0.43,0.00,2022-10-04,2022-10-10,1
20221004,II,74.35,25.65,12.25,3.97,0.00,0.00,2022-10-04,2022-10-10,1
20221004,III,87.40,12.60,0.51,0.00,0.00,0.00,2022-10-04,2022-10-10,1
20221004,IV,58.78,41.22,5.96,0.30,0.00,0.00,2022-10-04,2022-10-10,1
20220927,I,57.69,42.31,23.40,7.09,0.43,0.00,2022-09-27,2022-10-03,1
20220927,II,67.56,32.44,16.80,5.28,0.00,0.00,2022-09-27,2022-10-03,1
20220927,III,70.49,29.51,6.34,0.50,0.00,0.00,2022-09-27,2022-10-03,1
20220927,IV,61.95,38.05,3.75,0.00,0.00,0.00,2022-09-27,2022-10-03,1
20220920,I,29.91,70.09,39.51,17.16,0.83,0.00,2022-09-20,2022-09-26,1
20220920,II,49.48,50.52,18.52,6.24,0.00,0.00,2022-09-20,2022-09-26,1
20220920,III,71.25,28.75,4.32,0.50,0.00,0.00,2022-09-20,2022-09-26,1
20220920,IV,87.12,12.88,2.68,0.00,0.00,0.00,2022-09-20,2022-09-26,1
20220913,I,28.22,71.78,40.03,19.44,1.51,0.00,2022-09-13,2022-09-19,1
20220913,II,40.16,59.84,22.18,6.61,0.00,0.00,2022-09-13,2022-09-19,1
20220913,III,72.33,27.67,1.89,0.57,0.00,0.00,2022-09-13,2022-09-19,1
20220913,IV,89.41,10.59,1.56,0.00,0.00,0.00,2022-09-13,2022-09-19,1
20220906,I,26.60,73.40,39.65,20.49,1.51,0.00,2022-09-06,2022-09-12,1
20220906,II,33.88,66.12,21.97,8.81,0.00,0.00,2022-09-06,2022-09-12,1
20220906,III,64.15,35.85,1.91,0.07,0.00,0.00,2022-09-06,2022-09-12,1
20220906,IV,86.76,13.24,2.09,0.00,0.00,0.00,2022-09-06,2022-09-12,1
20220830,I,26.60,73.40,41.09,26.10,6.14,0.00,2022-08-30,2022-09-05,1
20220830,II,23.06,76.94,30.39,9.08,0.00,0.00,2022-08-30,2022-09-05,1
20220830,III,74.75,25.25,4.01,0.00,0.00,0.00,2022-08-30,2022-09-05,1
20220830,IV,86.39,13.61,2.62,0.07,0.00,0.00,2022-08-30,2022-09-05,1
20220823,I,28.70,71.30,42.96,27.83,7.70,0.00,2022-08-23,2022-08-29,1
20220823,II,40.51,59.49,25.87,4.44,0.00,0.00,2022-08-23,2022-08-29,1
20220823,III,80.83,19.17,2.70,0.00,0.00,0.00,2022-08-23,2022-08-29,1
20220823,IV,83.43,16.57,3.14,0.54,0.00,0.00,2022-08-23,2022-08-29,1
20220816,I,23.96,76.04,43.56,26.76,7.70,0.00,2022-08-16,2022-08-22,1
20220816,II,40.66,59.34,23.12,4.01,0.00,0.00,2022-08-16,2022-08-22,1
20220816,III,82.23,17.77,2.70,0.00,0.00,0.00,2022-08-16,2022-08-22,1
20220816,IV,72.63,27.37,7.42,1.30,0.00,0.00,2022-08-16,2022-08-22,1
20220809,I,23.74,76.26,40.69,16.82,3.57,0.00,2022-08-09,2022-08-15,1
20220809,II,42.03,57.97,16.17,1.48,0.00,0.00,2022-08-09,2022-08-15,1
20220809,III,82.39,17.61,3.14,0.00,0.00,0.00,2022-08-09,2022-08-15,1
20220809,IV,71.07,28.93,8.88,1.87,0.00,0.00,2022-08-09,2022-08-15,1
20220802,I,24.18,75.82,53.05,16.60,0.00,0.00,2022-08-02,2022-08-08,1
20220802,II,46.86,53.14,18.85,0.47,0.00,0.00,2022-08-02,2022-08-08,1
20220802,III,80.18,19.82,3.46,0.00,0.00,0.00,2022-08-02,2022-08-08,1
20220802,IV,69.34,30.66,9.35,4.14,0.06,0.00,2022-08-02,2022-08-08,1
20220726,I,21.20,78.80,52.89,8.67,0.00,0.00,2022-07-26,2022-08-01,1
20220726,II,48.76,51.24,11.20,0.46,0.00,0.00,2022-07-26,2022-08-01,1
20220726,III,74.21,25.79,4.06,0.00,0.00,0.00,2022-07-26,2022-08-01,1
20220726,IV,60.73,39.27,11.85,5.17,0.31,0.00,2022-07-26,2022-08-01,1
20220719,I,17.17,82.83,59.25,3.74,0.00,0.00,2022-07-19,2022-07-25,1
20220719,II,56.73,43.27,8.97,0.46,0.00,0.00,2022-07-19,2022-07-25,1
20220719,III,78.56,21.44,3.97,0.00,0.00,0.00,2022-07-19,2022-07-25,1
20220719,IV,55.78,44.22,13.41,4.49,0.00,0.00,2022-07-19,2022-07-25,1
20220712,I,13.48,86.52,61.61,3.10,0.00,0.00,2022-07-12,2022-07-18,1
20220712,II,59.26,40.74,4.65,0.46,0.00,0.00,2022-07-12,2022-07-18,1
20220712,III,80.91,19.09,1.55,0.00,0.00,0.00,2022-07-12,2022-07-18,1
20220712,IV,45.67,54.33,20.31,1.88,0.00,0.00,2022-07-12,2022-07-18,1
