MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20140401,MA,100,0,0,0,0,0,4/1/14,4/7/14,1
20130924,MA,100,0,0,0,0,0,9/24/13,9/30/13,1
20130917,MA,100,0,0,0,0,0,9/17/13,9/23/13,1
20130910,MA,100,0,0,0,0,0,9/10/13,9/16/13,1
20130903,MA,100,0,0,0,0,0,9/3/13,9/9/13,1
20130827,MA,100,0,0,0,0,0,8/27/13,9/2/13,1
20130820,MA,100,0,0,0,0,0,8/20/13,8/26/13,1
20130813,MA,100,0,0,0,0,0,8/13/13,8/19/13,1
20130806,MA,100,0,0,0,0,0,8/6/13,8/12/13,1
20130730,MA,100,0,0,0,0,0,7/30/13,8/5/13,1
20130723,MA,100,0,0,0,0,0,7/23/13,7/29/13,1
20130716,MA,100,0,0,0,0,0,7/16/13,7/22/13,1
20130709,MA,100,0,0,0,0,0,7/9/13,7/15/13,1
20130702,MA,100,0,0,0,0,0,7/2/13,7/8/13,1
20130625,MA,100,0,0,0,0,0,6/25/13,7/1/13,1
20130618,MA,100,0,0,0,0,0,6/18/13,6/24/13,1
20130611,MA,100,0,0,0,0,0,6/11/13,6/17/13,1
20130423,MA,100,0,0,0,0,0,4/23/13,4/29/13,1
20130416,MA,100,0,0,0,0,0,4/16/13,4/22/13,1
20130409,MA,100,0,0,0,0,0,4/9/13,4/15/13,1
20130402,MA,100,0,0,0,0,0,4/2/13,4/8/13,1
20130326,MA,100,0,0,0,0,0,3/26/13,4/1/13,1
20130319,MA,100,0,0,0,0,0,3/19/13,3/25/13,1
20130312,MA,100,0,0,0,0,0,3/12/13,3/18/13,1
20130305,MA,100,0,0,0,0,0,3/5/13,3/11/13,1
20130226,MA,100,0,0,0,0,0,2/26/13,3/4/13,1
20130219,MA,100,0,0,0,0,0,2/19/13,2/25/13,1
20130212,MA,100,0,0,0,0,0,2/12/13,2/18/13,1
20130205,MA,100,0,0,0,0,0,2/5/13,2/11/13,1
20130129,MA,100,0,0,0,0,0,1/29/13,2/4/13,1
20130122,MA,100,0,0,0,0,0,1/22/13,1/28/13,1
20130115,MA,100,0,0,0,0,0,1/15/13,1/21/13,1
20130108,MA,100,0,0,0,0,0,1/8/13,1/14/13,1
20130101,MA,100,0,0,0,0,0,1/1/13,1/7/13,1
20121225,MA,100,0,0,0,0,0,12/25/12,12/31/12,1
20121218,MA,100,0,0,0,0,0,12/18/12,12/24/12,1
20121211,MA,100,0,0,0,0,0,12/11/12,12/17/12,1
20121204,MA,100,0,0,0,0,0,12/4/12,12/10/12,1
20121127,MA,100,0,0,0,0,0,11/27/12,12/3/12,1
20121120,MA,100,0,0,0,0,0,11/20/12,11/26/12,1
20121113,MA,100,0,0,0,0,0,11/13/12,11/19/12,1
20121106,MA,100,0,0,0,0,0,11/6/12,11/12/12,1
20121030,MA,100,0,0,0,0,0,10/30/12,11/5/12,1
20121023,MA,100,0,0,0,0,0,10/23/12,10/29/12,1
20121016,MA,100,0,0,0,0,0,10/16/12,10/22/12,1
20121009,MA,100,0,0,0,0,0,10/9/12,10/15/12,1
20121002,MA,100,0,0,0,0,0,10/2/12,10/8/12,1
20120925,MA,100,0,0,0,0,0,9/25/12,10/1/12,1
20120207,MA,100,0,0,0,0,0,2/7/12,2/13/12,1
20120131,MA,100,0,0,0,0,0,1/31/12,2/6/12,1
20120124,MA,100,0,0,0,0,0,1/24/12,1/30/12,1
20120117,MA,100,0,0,0,0,0,1/17/12,1/23/12,1
20120110,MA,100,0,0,0,0,0,1/10/12,1/16/12,1
20120103,MA,100,0,0,0,0,0,1/3/12,1/9/12,1
20111227,MA,100,0,0,0,0,0,12/27/11,1/2/12,1
20111220,MA,100,0,0,0,0,0,12/20/11,12/26/11,1
20111213,MA,100,0,0,0,0,0,12/13/11,12/19/11,1
20111206,MA,100,0,0,0,0,0,12/6/11,12/12/11,1
20111129,MA,100,0,0,0,0,0,11/29/11,12/5/11,1
20111122,MA,100,0,0,0,0,0,11/22/11,11/28/11,1
20111115,MA,100,0,0,0,0,0,11/15/11,11/21/11,1
20111108,MA,100,0,0,0,0,0,11/8/11,11/14/11,1
20111101,MA,100,0,0,0,0,0,11/1/11,11/7/11,1
20111025,MA,100,0,0,0,0,0,10/25/11,10/31/11,1
20111018,MA,100,0,0,0,0,0,10/18/11,10/24/11,1
20111011,MA,100,0,0,0,0,0,10/11/11,10/17/11,1
20111004,MA,100,0,0,0,0,0,10/4/11,10/10/11,1
20110927,MA,100,0,0,0,0,0,9/27/11,10/3/11,1
20110920,MA,100,0,0,0,0,0,9/20/11,9/26/11,1
20110913,MA,100,0,0,0,0,0,9/13/11,9/19/11,1
20110906,MA,100,0,0,0,0,0,9/6/11,9/12/11,1
20110830,MA,100,0,0,0,0,0,8/30/11,9/5/11,1
20110823,MA,100,0,0,0,0,0,8/23/11,8/29/11,1
20110816,MA,100,0,0,0,0,0,8/16/11,8/22/11,1
20110726,MA,100,0,0,0,0,0,7/26/11,8/1/11,1
20110719,MA,100,0,0,0,0,0,7/19/11,7/25/11,1
20110712,MA,100,0,0,0,0,0,7/12/11,7/18/11,1
20110705,MA,100,0,0,0,0,0,7/5/11,7/11/11,1
20110628,MA,100,0,0,0,0,0,6/28/11,7/4/11,1
20110621,MA,100,0,0,0,0,0,6/21/11,6/27/11,1
20110614,MA,100,0,0,0,0,0,6/14/11,6/20/11,1
20110607,MA,100,0,0,0,0,0,6/7/11,6/13/11,1
20110531,MA,100,0,0,0,0,0,5/31/11,6/6/11,1
20110524,MA,100,0,0,0,0,0,5/24/11,5/30/11,1
20110517,MA,100,0,0,0,0,0,5/17/11,5/23/11,1
20110510,MA,100,0,0,0,0,0,5/10/11,5/16/11,1
20110503,MA,100,0,0,0,0,0,5/3/11,5/9/11,1
20110426,MA,100,0,0,0,0,0,4/26/11,5/2/11,1
20110419,MA,100,0,0,0,0,0,4/19/11,4/25/11,1
20110412,MA,100,0,0,0,0,0,4/12/11,4/18/11,1
20110405,MA,100,0,0,0,0,0,4/5/11,4/11/11,1
20110329,MA,100,0,0,0,0,0,3/29/11,4/4/11,1
20110322,MA,100,0,0,0,0,0,3/22/11,3/28/11,1
20110315,MA,100,0,0,0,0,0,3/15/11,3/21/11,1
20110308,MA,100,0,0,0,0,0,3/8/11,3/14/11,1
20110301,MA,100,0,0,0,0,0,3/1/11,3/7/11,1
20110222,MA,100,0,0,0,0,0,2/22/11,2/28/11,1
20110215,MA,100,0,0,0,0,0,2/15/11,2/21/11,1
