FileName,ColumnName,DataType,SampleValue,Description
mosquito_wide_all.csv,INO,numeric,0,Culiseta inorata
mosquito_wide_all.csv,IMP,numeric,0,Culiseta impatiens
mosquito_wide_all.csv,HEN,numeric,0,Aedes hendersoni
mosquito_wide_all.csv,GRO,numeric,0,Aedes grossbecki
mosquito_wide_all.csv,FIT,numeric,0,Aedes fitchii
mosquito_wide_all.csv,FER,numeric,0,Psorophora ferox
mosquito_wide_all.csv,EXC,numeric,0,Aedes excrucians
mosquito_wide_all.csv,ERR,numeric,0,Culex erraticus
mosquito_wide_all.csv,DIA,numeric,0,Aeded dianteus
mosquito_wide_all.csv,CUL,numeric,0,Culex species
mosquito_wide_all.csv,CTT,numeric,0,Aedes cantator
mosquito_wide_all.csv,CRU,numeric,0,Anopheles cruicians
mosquito_wide_all.csv,COM,numeric,0,Aedes communis
mosquito_wide_all.csv,collection date,Date,5/10/07,date mosquito was collected from trap
mosquito_wide_all.csv,COL,numeric,0,Psorophora columbiae
mosquito_wide_all.csv,CIN,numeric,0,aedes cinereus
mosquito_wide_all.csv,CAN,numeric,0,Aedes canadensis
mosquito_wide_all.csv,BAR,numeric,0,Anopheles barberei
mosquito_wide_all.csv,AUR,numeric,0,Aedes aurifer
mosquito_wide_all.csv,ATR,numeric,0,Aedes atropalpus
mosquito_wide_all.csv,ATL,numeric,0,Aedes atlanticus
mosquito_wide_all.csv,ALB,numeric,0,Aedes albopictus
mosquito_wide_all.csv,ABS,numeric,0,Aedes abserratus
pcr_data.csv,week_num,character,2007-19,week number using ISO 8601 standard using the format YYYY-WW
pcr_data.csv,Trap Type,character,Gravid Trap,the type of mosquito trap used to collect the mosquito
pcr_data.csv,Trap Site,character,"Fresh Meadow Lane, BR",Common description of where the trap was located. 
pcr_data.csv,Trap Set Date,POSIXct,5/9/07,Date the traps was set
pcr_data.csv,Town,character,Dighton,Town/city in which the mosquito was collected
pcr_data.csv,Test Type,character,NA,the type of virus test the mosquito pool was positive for
pcr_data.csv,Submitted for Testing,character,N,indiccarto of whether the mosquito pool was submitted for pcr testing
pcr_data.csv,Specimen Type,character,Mosquito,Type of specimen tested
pcr_data.csv,Species code,character,NCR,5 letter code for mosquito Genus species 
pcr_data.csv,Species,character,No Collections Recorded,mosqutio species collected
pcr_data.csv,Result,character,NA,results of pcr tests 
pcr_data.csv,Pool Size,numeric,0,
pcr_data.csv,Pool ID,character,BR07NS-0132,Unique ID for collected mosquitoes
pcr_data.csv,Number of Traps,numeric,1,# of traps at a surveillance site
pcr_data.csv,MCD,character,Bristol,Name of mosquito control district that collected the mosquitoes
pcr_data.csv,Genus,character,No Collections,genus of mosquito collected
pcr_data.csv,Collection Date,POSIXct,5/10/07,date mosquito was collected from trap
trap_sites_selected.csv,Trap Site Address,character,"Crown Street, BR",Common descrption of location
trap_sites_selected.csv,MCD,character,Bristol,name of mosquito control district that oversees the trap
trap_sites_selected.csv,Location,character,Attleboro: Attleboro 02703(Bristol),Town/City where trap site is located with zip code
trap_sites_selected.csv,DecLat,numeric,41.896164,lattitude of location in decimal degrees
trap_sites_selected.csv,DecLong,numeric,-71.38026,longitude of location in decimal degrees
wx_hourly_current.csv,week_num,character,2006-01,week number using ISO 8601 standard using the format YYYY-WW
wx_hourly_current.csv,Hrs_Below_50_current,numeric,283,# of hours when temperature is below 50 degrees F in a week
wx_hourly_current.csv,Avg_HourlyWindSpeed_current,numeric,3.961130742,Average weekly windspeed
wx_hourly_current.csv,Avg_HourlyWetBulbTemperature_current,numeric,30.8869258,Average weekly wetbulb temp
wx_hourly_current.csv,Avg_HourlyRelativeHumidity_current,numeric,87.50530035,Average weekly RH
wx_hourly_lead.csv,Year,numeric,2006,Year extraced from a date field
wx_hourly_lead.csv,week_num,character,2006-01,week number using ISO 8601 standard using the format YYYY-WW
wx_hourly_lead.csv,Week,numeric,1,week number using ISO 8601 standard
wx_hourly_lead.csv,Lead_week_num,character,2006-02,"week_num + 1 week., used to create a lag"
wx_hourly_lead.csv,Hrs_Between_50_86_lag,numeric,0,number of hours where temperature is >=50 and <=86 F and week_num - 1 week
wx_hourly_lead.csv,Hrs_Below_50_lag,numeric,283,# of hours when temperature is below 50 degrees F in a week
wx_hourly_lead.csv,Hrs_Above_80_lag,numeric,0,# hours when temp >= 80 F and week_num - 1 week
wx_hourly_lead.csv,Hrs_Above_75_lag,numeric,0,# hours when temp >= 75 F and week_num - 1 week
wx_hourly_lead.csv,Avg_HourlyWetBulbTemp_lag,numeric,30.8869258,Average weekly wetbulb temp week_num - 1 week
wx_hourly_lead.csv,Avg_HourlyDryBulbTemp_lag,numeric,32.14134276,Average weekly dry bulb temp week_num - 1 week
wx_selected.csv,week_num,character,2007-01,week number using ISO 8601 standard using the format YYYY-WW
wx_selected.csv,TMAX,numeric,57,The maximum temperature recorded in a calendar day at the Taunton Airport
wx_selected.csv,STATION,character,USW00054777,Weather station that collected the weather data
wx_selected.csv,PRCP,numeric,1.17,total precipitation recorded in a calendar day
wx_selected.csv,NAME,character,"TAUNTON MUNICIPAL AIRPORT, MA US",Name of weather station
wx_selected.csv,DATE,Date,1/1/07,date of  weather readings
yearly_mel_average.csv,Year,numeric,2007,Year extraced from a date field
yearly_mel_average.csv,Average_MEL,numeric,16.05013193,Average weekly  number of Culiseta melanura caught 
yearly_mel_proportion.csv,Year,numeric,2007,Year extraced from a date field
yearly_mel_proportion.csv,Total_MEL,numeric,12166,total # of Culiseta melanura mosquitoes by year
yearly_mel_proportion.csv,Total_All,numeric,37247,sum of all mosquitoes collected in a year
yearly_mel_proportion.csv,MEL_Prop,numeric,0.326630333,Proportion of Culiseta melanura mosquito captured in a week
