week_num,Total_MEL,Total_All,MEL_Prop
2016-34,55,687,0.08005822416302766
2016-35,37,526,0.07034220532319392
2016-36,103,652,0.1579754601226994
2016-37,21,408,0.051470588235294115
2016-38,22,276,0.07971014492753623
2016-39,4,18,0.2222222222222222
2016-40,3,8,0.375
2016-41,0,8,0
2016-42,0,85,0
2017-20,0,41,0
2017-21,46,857,0.05367561260210035
2017-22,114,1618,0.07045735475896168
2017-23,122,541,0.2255083179297597
2017-24,164,5251,0.031232146257855645
2017-25,167,2166,0.07710064635272391
2017-26,70,1973,0.035478966041561075
2017-27,32,1681,0.01903628792385485
2017-28,131,3889,0.03368475186423245
2017-29,445,3696,0.1204004329004329
2017-30,335,2375,0.14105263157894737
2017-31,319,3857,0.08270676691729323
2017-32,480,3094,0.15513897866839044
2017-33,375,2108,0.17789373814041745
2017-34,338,1764,0.19160997732426305
2017-35,186,766,0.24281984334203655
2017-36,490,967,0.5067218200620476
2017-37,160,620,0.25806451612903225
2017-38,320,524,0.6106870229007634
2017-39,348,591,0.5888324873096447
2017-40,24,63,0.38095238095238093
2017-41,0,84,0
2017-42,0,2,0
2017-43,0,6,0
2017-44,0,9,0
2018-21,54,763,0.07077326343381389
2018-22,88,1159,0.07592752372735116
2018-23,203,488,0.41598360655737704
2018-24,336,2737,0.12276214833759591
2018-25,645,3684,0.1750814332247557
2018-26,833,2662,0.31292261457550713
2018-27,387,4846,0.07985967808501858
2018-28,409,5640,0.0725177304964539
2018-29,629,4128,0.15237403100775193
2018-30,625,3104,0.20135309278350516
2018-31,295,2689,0.10970621048716996
2018-32,592,2915,0.20308747855917667
2018-33,933,2524,0.3696513470681458
2018-34,498,1497,0.33266533066132264
2018-35,592,2090,0.2832535885167464
2018-36,1230,3126,0.3934740882917466
2018-37,1467,2655,0.5525423728813559
2018-38,572,1607,0.35594275046670815
2018-39,139,281,0.49466192170818507
2018-40,207,511,0.4050880626223092
2018-42,0,2,0
2018-43,0,0,NA
2019-18,1,6,0.16666666666666666
2019-19,3,23,0.13043478260869565
2019-20,7,31,0.22580645161290322
2019-21,255,744,0.34274193548387094
2019-22,271,711,0.38115330520393814
2019-23,540,3043,0.1774564574433125
2019-24,2235,3626,0.6163816878102593
2019-25,1869,4299,0.43475226796929517
2019-26,318,2863,0.11107230178134823
2019-27,513,1533,0.33463796477495106
2019-28,1122,5258,0.21338912133891214
2019-29,1663,11347,0.14655856173437914
2019-30,4855,15206,0.3192818624227279
2019-31,3586,10495,0.34168651738923295
2019-32,7129,21805,0.32694336161430865
2019-33,4456,10383,0.42916305499373975
2019-34,3939,7634,0.515981137018601
2019-35,601,1649,0.3644633110976349
2019-36,617,1006,0.6133200795228628
2019-37,475,762,0.6233595800524935
2019-38,751,1074,0.6992551210428305
2019-39,346,546,0.6336996336996337
2019-40,448,553,0.810126582278481
2019-41,203,267,0.7602996254681648
2020-17,0,0,NA
2020-18,0,0,NA
2020-19,0,0,NA
2020-21,2,41,0.04878048780487805
2020-22,182,902,0.2017738359201774
2020-23,166,1365,0.12161172161172161
2020-24,265,1466,0.18076398362892224
2020-25,80,1397,0.0572655690765927
2020-26,444,3516,0.12627986348122866
2020-27,2186,3322,0.6580373269114991
2020-28,403,3402,0.11845972957084068
2020-29,427,4719,0.09048527230345413
2020-30,338,5862,0.057659501876492665
2020-31,411,4865,0.08448098663926001
2020-32,114,3233,0.03526136715125271
2020-33,427,2517,0.16964640444974174
2020-34,116,1974,0.05876393110435663
2020-35,298,1276,0.2335423197492163
2020-36,32,688,0.046511627906976744
2020-37,98,751,0.13049267643142476
2020-38,30,438,0.0684931506849315
2020-39,3,245,0.012244897959183673
2020-40,9,284,0.03169014084507042
2021-18,3,3,1
2021-19,4,47,0.0851063829787234
2021-21,14,648,0.021604938271604937
2021-22,23,535,0.04299065420560748
2021-23,126,750,0.168
2021-24,49,902,0.05432372505543237
2021-25,143,1265,0.11304347826086956
2021-26,42,3923,0.010706092276319143
2021-27,125,2157,0.057950857672693555
2021-28,58,2258,0.025686448184233834
2021-29,309,3288,0.09397810218978102
2021-30,309,3870,0.07984496124031008
2021-31,245,5434,0.04508649245491351
2021-32,428,10853,0.039436100617340826
2021-33,430,5079,0.08466233510533569
2021-34,1769,22664,0.07805330038828097
2021-35,492,3550,0.13859154929577464
2021-36,537,4078,0.13168219715546836
2021-37,916,3735,0.24524765729585007
2021-38,588,7040,0.08352272727272728
2021-39,278,8466,0.03283723127805339
2021-40,639,2050,0.31170731707317073
2021-41,189,1805,0.10470914127423822
2021-42,6,345,0.017391304347826087
2022-19,380,451,0.8425720620842572
2022-21,775,1100,0.7045454545454546
2022-22,147,252,0.5833333333333334
2022-23,1023,1817,0.5630159603742433
2022-24,1125,2623,0.428898208158597
2022-25,595,1283,0.4637568199532346
2022-26,1443,6829,0.21130472982867185
2022-27,197,1573,0.12523839796567068
2022-28,384,2347,0.1636131231359182
2022-29,113,980,0.11530612244897959
2022-30,161,1036,0.1554054054054054
2022-31,329,1500,0.21933333333333332
2022-32,186,814,0.2285012285012285
2022-33,103,633,0.1627172195892575
2022-34,152,660,0.23030303030303031
2022-35,128,563,0.22735346358792186
2022-36,201,578,0.3477508650519031
2022-37,134,541,0.2476894639556377
2022-38,103,520,0.19807692307692307
2022-39,105,458,0.2292576419213974
2022-40,89,192,0.4635416666666667
2022-41,2,26,0.07692307692307693
2022-42,28,75,0.37333333333333335
2022-43,9,65,0.13846153846153847
2022-44,3,29,0.10344827586206896
2022-45,2,34,0.058823529411764705
2023-17,0,1,0
2023-19,48,138,0.34782608695652173
2023-20,24,78,0.3076923076923077
2023-21,56,359,0.15598885793871867
2023-22,34,349,0.09742120343839542
2023-23,318,649,0.4899845916795069
2023-24,613,1608,0.3812189054726368
2023-25,558,1500,0.372
2023-26,948,3343,0.2835776248878253
2023-27,320,1323,0.2418745275888133
2023-28,689,2935,0.23475298126064736
2023-29,1298,4624,0.28070934256055363
2023-30,1849,4953,0.37330910559257013
2023-31,1250,4385,0.28506271379703535
2023-32,1165,6411,0.1817189206052098
2023-33,1996,10150,0.19665024630541872
2023-34,458,6565,0.06976389946686977
2023-35,1422,5390,0.263821892393321
2023-36,320,1255,0.2549800796812749
2023-37,1154,3428,0.33663943990665113
2023-38,768,3676,0.2089227421109902
2023-39,279,1073,0.26001863932898417
2023-40,209,733,0.28512960436562074
2023-41,176,1718,0.10244470314318975
2023-42,53,791,0.06700379266750948
2023-43,60,762,0.07874015748031496
2023-44,0,4,0
