"week_num","Hours_Above_80","Hours_Above_75","Hours_Below_50","Avg_HourlyRelativeHumidity","Avg_HourlyWetBulbTemperature","Avg_HourlyWindSpeed","Lagged_week_num"
"2010-44",0,0,138,82.1282051282051,43.2478632478632,4.8076923076923,"2010-43"
"2010-45",0,0,216,83.7984496124031,39.6770428015564,7.05813953488373,"2010-44"
"2010-46",0,0,106,76.892523364486,43.303738317757,5.37850467289719,"2010-45"
"2010-47",0,0,139,64.7127659574468,36.8191489361702,5.92553191489362,"2010-46"
"2010-48",0,0,173,73.5637254901961,35.3676470588235,6.88725490196079,"2010-47"
"2010-49",0,0,166,67.421875,28.2395833333333,8.21465968586388,"2010-48"
"2010-50",0,0,178,72.7794871794872,26.7230769230769,5.61538461538462,"2010-49"
"2010-51",0,0,301,80.4053156146179,28.249169435216,8.84053156146179,"2010-50"
"2010-52",0,0,150,76.6733333333333,26.0133333333333,9.5234899328859,"2010-51"
"2010-53",0,0,198,82.0808080808081,24.0808080808081,8.91878172588833,"2010-52"
"2011-01",0,0,221,73.7556561085973,25.4027149321267,4.67873303167421,"2010-52"
"2011-02",0,0,249,77.1526104417671,24.2730923694779,7.85542168674699,"2011-01"
"2011-03",0,0,252,79.7579365079365,24.6706349206349,4.23412698412698,"2011-02"
"2011-04",0,0,316,84.4588607594937,19.6582278481013,3.06962025316456,"2011-03"
"2011-05",0,0,283,84.034965034965,24.6560283687943,4.75174825174826,"2011-04"
"2011-06",0,0,207,68.768115942029,24.2463768115942,5.59903381642512,"2011-05"
"2011-07",0,0,152,53.625,29.8869047619048,8.55952380952381,"2011-06"
"2011-08",0,0,264,75.1544117647059,27.8609022556391,5.13602941176471,"2011-07"
"2011-09",0,0,154,69.020618556701,33.2268041237113,8.01030927835051,"2011-08"
"2011-10",0,0,206,81.3204633204633,39.3552123552124,7.64478764478765,"2011-09"
"2011-11",0,0,209,76.662447257384,36.4894514767932,4.37552742616034,"2011-10"
"2011-12",0,0,240,69.0166666666666,30.4,6.80833333333333,"2011-11"
"2011-13",0,0,187,64.0961538461539,33.4326923076923,6.92788461538462,"2011-12"
"2011-14",0,0,180,76.4302325581395,37.3294573643411,6.05813953488373,"2011-13"
"2011-15",0,0,126,80.2372881355932,45.7754237288136,8.60169491525424,"2011-14"
"2011-16",0,3,121,76.8045454545455,45.1272727272727,5.93181818181818,"2011-15"
"2011-17",0,2,54,84.9236363636364,53.6181818181818,6.95604395604395,"2011-16"
"2011-18",0,0,86,78.9251968503937,49.2322834645669,5.40944881889764,"2011-17"
"2011-19",0,0,101,83.7333333333333,48.8185185185185,6.11851851851853,"2011-18"
"2011-20",0,0,83,94.0245398773006,54.0858895705521,3.92331288343558,"2011-19"
"2011-21",6,34,8,88.7374100719424,62.1258992805755,5.85971223021583,"2011-20"
"2011-22",13,29,37,75.640350877193,56.6008771929825,5.14473684210526,"2011-21"
"2011-23",27,51,15,84.633962264151,59.7320754716981,3.85057471264368,"2011-22"
"2011-24",10,25,6,82.6130268199234,58.1532567049808,4.15325670498084,"2011-23"
"2011-25",5,27,14,89.6622950819672,61.5803278688525,3.03934426229508,"2011-24"
"2011-26",22,70,0,82.890243902439,64.1788617886179,3.21544715447154,"2011-25"
"2011-27",49,79,0,83.4043321299639,66.9675090252708,3.26373626373626,"2011-26"
